negPeakIdx;target;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
310;0;3.3909799932180395e-05;6.781959986436079e-05;0.0;0.0008138351983723296;0.0;0.0006103763987792473;0.0;0.0005425567989148863;0.0;0.0007460155985079687;0.0;0.0005764665988470667;0.0;0.4125;0.0;1.03125;0.0;1.653125;0.0;0.3861797384147205;0.0;0.7128740238377501;0.0;0.5066399785585918;0.0;2.0;0.0;18.000000000000007;0.0;70;5.7079493362542015;0.0;3503.800905416189;6531.25;2.4416126196513668;-29.808586655257304;0.0
442;0;6.781959986436079e-05;0.0008138351983723296;3.3909799932180395e-05;0.0006103763987792473;0.0;0.0003730077992539844;0.0;0.0007460155985079687;0.0005425567989148863;0.0005764665988470667;0.0;0.0002034587995930824;0.0;0.61875;0.4125;1.240625;0.0;1.6375;0.0;0.9521480910247142;0.3861797384147205;0.5454632322416288;0.0;-0.03738556343394168;0.0;12.000000000000002;0.5;5.5;0.0;65;6.150395634669014;7.875182793068519;3442.026934221665;6718.75;3.4082398494787283;-32.0127374864137;0.0
640;0;0.0008138351983723296;0.0006103763987792473;6.781959986436079e-05;0.0003730077992539844;3.3909799932180395e-05;0.0002712783994574432;0.0;0.0005764665988470667;0.0007460155985079687;0.0002034587995930824;0.0005425567989148863;6.781959986436079e-05;0.0;0.621875;0.61875;1.01875;1.03125;1.659375;0.0;0.748081595075016;0.9521480910247142;0.06219969536967874;0.7128740238377501;0.1886720352867288;0.0;0.7500000000000001;0.08333333333333333;0.3333333333333333;0.0;46;6.318232363289647;2.3127920670420195;3384.433712264891;6156.25;6.404351152979183;-28.452277351855212;0.0
839;0;0.0006103763987792473;0.0003730077992539844;0.0008138351983723296;0.0002712783994574432;6.781959986436079e-05;0.0005425567989148863;3.3909799932180395e-05;0.0002034587995930824;0.0005764665988470667;6.781959986436079e-05;0.0007460155985079687;6.781959986436079e-05;0.0005425567989148863;0.396875;0.621875;1.0375;1.240625;1.378125;1.653125;-0.35470781476552143;0.748081595075016;-0.056097045035598;0.5454632322416288;0.5944373688197461;0.5066399785585918;0.6111111111111109;1.333333333333333;0.8888888888888886;0.05555555555555554;50;6.157255968106908;0.0;3471.405068627332;6531.25;4.995984509451508;-28.82997872958725;0.0
966;0;0.0003730077992539844;0.0002712783994574432;0.0006103763987792473;0.0005425567989148863;0.0008138351983723296;0.00016954899966090201;6.781959986436079e-05;6.781959986436079e-05;0.0002034587995930824;6.781959986436079e-05;0.0005764665988470667;0.00030518819938962365;0.0007460155985079687;0.640625;0.396875;0.98125;1.01875;1.60625;1.6375;0.4494043960426459;-0.35470781476552143;0.032064713034123365;0.06219969536967874;0.03279108518976854;-0.03738556343394168;0.7272727272727273;1.636363636363637;0.4545454545454546;0.18181818181818185;56;6.1171692389448085;0.0;3511.8908837337603;6500.0;4.662186309485137;-28.57745253206544;0.0
1171;0;0.0002712783994574432;0.0005425567989148863;0.0003730077992539844;0.00016954899966090201;0.0006103763987792473;3.3909799932180395e-05;0.0008138351983723296;6.781959986436079e-05;6.781959986436079e-05;0.00030518819938962365;0.0002034587995930824;0.0004408273991183452;0.0005764665988470667;0.340625;0.640625;0.965625;1.0375;1.59375;1.659375;0.6414064560924266;0.4494043960426459;0.6691337425002702;-0.056097045035598;0.5883145696128771;0.1886720352867288;2.0;1.375;0.125;3.0000000000000004;54;6.090977818570432;0.0;3649.180065045715;6500.0;4.117892570439098;-31.869321120117732;0.0
1280;0;0.0005425567989148863;0.00016954899966090201;0.0002712783994574432;3.3909799932180395e-05;0.0003730077992539844;0.0002373685995252628;0.0006103763987792473;0.00030518819938962365;6.781959986436079e-05;0.0004408273991183452;6.781959986436079e-05;0.0004069175991861648;0.0002034587995930824;0.625;0.340625;1.253125;0.98125;1.6375;1.378125;0.9263279482244527;0.6414064560924266;0.505722008044279;0.032064713034123365;0.6735772899899732;0.5944373688197461;0.3125000000000001;0.5;0.4375000000000001;1.1250000000000004;70;5.9175083744898425;0.0;3521.149416708255;6718.75;5.556273728578688;-25.794875076058325;0.0
1480;0;0.00016954899966090201;3.3909799932180395e-05;0.0005425567989148863;0.0002373685995252628;0.0002712783994574432;0.0002373685995252628;0.0003730077992539844;0.0004408273991183452;0.00030518819938962365;0.0004069175991861648;6.781959986436079e-05;0.00016954899966090201;6.781959986436079e-05;0.628125;0.625;1.0125;0.965625;1.40625;1.60625;0.6034107579311323;0.9263279482244527;0.7680101025401399;0.6691337425002702;0.9822517430537666;0.03279108518976854;0.2;3.2;1.4;2.2;65;6.294745692478787;0.0;3889.000065101809;6781.25;3.4908696356155837;-34.88224691913537;0.0
1681;0;3.3909799932180395e-05;0.0002373685995252628;0.00016954899966090201;0.0002373685995252628;0.0005425567989148863;0.00030518819938962365;0.0002712783994574432;0.0004069175991861648;0.0004408273991183452;0.00016954899966090201;0.00030518819938962365;0.00016954899966090201;6.781959986436079e-05;0.384375;0.628125;0.778125;1.253125;1.065625;1.59375;0.6844858577701081;0.6034107579311323;0.05522894815250885;0.505722008044279;0.3874841994588055;0.5883145696128771;7.000000000000001;5.000000000000001;9.000000000000004;8.0;73;6.291438085093057;0.0;3582.571613342355;6531.25;3.92723234443502;-33.73131680971252;0.0
1804;0;0.0002373685995252628;0.0002373685995252628;3.3909799932180395e-05;0.00030518819938962365;0.00016954899966090201;3.3909799932180395e-05;0.0005425567989148863;0.00016954899966090201;0.0004069175991861648;0.00016954899966090201;0.0004408273991183452;0.00013563919972872158;0.00030518819938962365;0.39375;0.384375;0.68125;1.0125;1.1375;1.6375;0.841593040377875;0.6844858577701081;0.8305339664116719;0.7680101025401399;-0.22367086075701906;0.6735772899899732;1.0;0.14285714285714282;0.14285714285714282;2.285714285714285;62;6.35184464400031;0.0;3724.901104097841;6531.25;4.641525683841965;-32.640921040882105;0.0
