negPeakIdx;target;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
131;0;0.004611732790776534;0.0011529331976941335;0.0;0.004374364191251271;0.0;0.0002034587995930824;0.0;0.0035944387928111225;0.0;0.0008816547982366905;0.0;0.0040013563919972855;0.0;0.65;0.0;1.00625;0.0;1.646875;0.0;0.08407411763986446;0.0;0.7594009684031703;0.0;-0.05125850859034595;0.0;0.25;0.0;0.04411764705882353;0.0;20;7.6132549973296575;0.0;1952.8429633006588;5343.75;18.108379638768454;-9.815522999571307;0.0
339;0;0.0011529331976941335;0.004374364191251271;0.004611732790776534;0.0002034587995930824;0.0;0.004170905391658189;0.0;0.0008816547982366905;0.0035944387928111225;0.0040013563919972855;0.0;0.001254662597490675;0.0;0.35625;0.65;0.996875;0.0;1.359375;0.0;0.5250988299490525;0.08407411763986446;0.9956607287428406;0.0;0.7817344396473102;0.0;3.794117647058824;4.0;3.61764705882353;0.0;33;7.815802041716963;7.336416731240468;1994.958899157883;5468.75;15.379682481260145;-22.350331363984903;0.0
453;0;0.004374364191251271;0.0002034587995930824;0.0011529331976941335;0.004170905391658189;0.004611732790776534;0.0007121057985757884;0.0;0.0040013563919972855;0.0008816547982366905;0.001254662597490675;0.0035944387928111225;0.0008138351983723296;0.0;0.640625;0.35625;1.003125;1.00625;1.35625;0.0;0.4238909958239713;0.5250988299490525;0.9541115814131016;0.7594009684031703;0.33245995179500104;0.0;0.04651162790697674;0.26356589147286824;0.16279069767441862;0.0;25;7.716904652194367;0.0;1996.8989478330893;5562.5;17.798980035129023;-10.863177331753905;0.0
658;0;0.0002034587995930824;0.004170905391658189;0.004374364191251271;0.0007121057985757884;0.0011529331976941335;0.0005764665988470667;0.004611732790776534;0.001254662597490675;0.0040013563919972855;0.0008138351983723296;0.0008816547982366905;0.003221430993557138;0.0035944387928111225;0.3625;0.640625;0.715625;0.996875;1.009375;1.646875;0.7356637490851171;0.4238909958239713;0.08528337544265162;0.9956607287428406;0.9943453185332564;-0.05125850859034595;20.5;21.5;2.833333333333333;22.666666666666664;38;7.387157469289495;8.697864229777727;1833.948138783684;5281.25;13.137592838803961;-21.199845731942148;0.0
774;0;0.004170905391658189;0.0007121057985757884;0.0002034587995930824;0.0005764665988470667;0.004374364191251271;0.004645642590708715;0.0011529331976941335;0.0008138351983723296;0.001254662597490675;0.003221430993557138;0.0040013563919972855;0.0006442861987114276;0.0008816547982366905;0.353125;0.3625;0.646875;1.003125;1.0;1.359375;0.701397025037173;0.7356637490851171;0.7526336479486232;0.9541115814131016;0.9945444128016564;0.7817344396473102;0.17073170731707316;0.04878048780487805;1.113821138211382;0.2764227642276422;20;7.499164262575616;0.0;2111.6257790627187;5718.75;16.24628424742132;-12.879975560853412;0.0
887;0;0.0007121057985757884;0.0005764665988470667;0.004170905391658189;0.004645642590708715;0.0002034587995930824;0.0002034587995930824;0.004374364191251271;0.003221430993557138;0.0008138351983723296;0.0006442861987114276;0.001254662597490675;0.0007799253984401493;0.0040013563919972855;0.29375;0.353125;0.646875;0.715625;0.984375;1.35625;0.12939239550935247;0.701397025037173;0.6526376748936192;0.08528337544265162;0.9888226619495932;0.33245995179500104;0.8095238095238094;5.857142857142858;0.2857142857142857;6.142857142857142;38;7.600088130567381;9.63705154738883;2569.1225461786207;6093.75;14.610846396698694;-14.431867608418205;0.0
981;0;0.0005764665988470667;0.004645642590708715;0.0007121057985757884;0.0002034587995930824;0.004170905391658189;0.0004408273991183452;0.0002034587995930824;0.0006442861987114276;0.003221430993557138;0.0007799253984401493;0.0008138351983723296;0.00339097999321804;0.001254662597490675;0.353125;0.29375;0.690625;0.646875;1.0625;1.009375;0.7497164925613244;0.12939239550935247;0.050380603029206224;0.7526336479486232;0.8661123733969383;0.9943453185332564;8.058823529411764;1.2352941176470589;0.7647058823529412;0.35294117647058826;42;7.51113427133613;6.378163792906964;1993.0495137283465;5531.25;13.065862261088016;-22.687843071195665;0.0
1094;0;0.004645642590708715;0.0002034587995930824;0.0005764665988470667;0.0004408273991183452;0.0007121057985757884;0.0050525601898948795;0.004170905391658189;0.0007799253984401493;0.0006442861987114276;0.00339097999321804;0.003221430993557138;6.781959986436079e-05;0.0008138351983723296;0.3375;0.353125;0.709375;0.646875;1.003125;1.0;0.6278525719171628;0.7497164925613244;0.6050217115482076;0.6526376748936192;0.9915966527606528;0.9945444128016564;0.043795620437956206;0.1240875912408759;1.0875912408759123;0.8978102189781022;25;7.698542459693548;0.0;2052.1673422926788;5468.75;17.114455855884216;-12.470603117370029;0.0
1202;0;0.0002034587995930824;0.0004408273991183452;0.004645642590708715;0.0050525601898948795;0.0005764665988470667;0.00016954899966090201;0.0007121057985757884;0.00339097999321804;0.0007799253984401493;6.781959986436079e-05;0.0006442861987114276;0.001017293997965412;0.003221430993557138;0.371875;0.3375;0.665625;0.690625;1.009375;0.984375;0.11966580091332785;0.6278525719171628;0.7156798088792784;0.050380603029206224;0.9993522994772438;0.9888226619495932;2.166666666666667;22.83333333333333;0.8333333333333334;3.5;38;7.768703408068454;6.473358468296556;2579.135726112197;6031.25;16.319713972071117;-17.605388223376078;0.0
1321;0;0.0004408273991183452;0.0050525601898948795;0.0002034587995930824;0.00016954899966090201;0.004645642590708715;0.00030518819938962365;0.0005764665988470667;6.781959986436079e-05;0.00339097999321804;0.001017293997965412;0.0007799253984401493;0.0042726347914547325;0.0006442861987114276;0.29375;0.371875;0.6375;0.709375;0.978125;1.0625;0.5601944048336734;0.11966580091332785;0.09317253093221137;0.6050217115482076;0.9330910187726548;0.8661123733969383;11.46153846153846;0.4615384615384615;0.6923076923076924;1.3076923076923077;59;7.312947169133968;3.3075469937474766;2210.4361535972625;5718.75;11.187589656406317;-26.457642474653873;0.0
