negPeakIdx;target;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
71;0;0.002441505595116989;0.012139708375720584;0.0;0.009562563580874872;0.0;0.002373685995252628;0.0;0.007799253984401491;0.0;0.002475415395049169;0.0;0.01373346897253306;0.0;0.2625;0.0;0.671875;0.0;1.003125;0.0;0.6390679828590778;0.0;0.7496228653473199;0.0;0.9357284877282224;0.0;4.972222222222221;0.0;0.972222222222222;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
155;0;0.012139708375720584;0.009562563580874872;0.002441505595116989;0.002373685995252628;0.0;0.012309257375381485;0.0;0.002475415395049169;0.007799253984401491;0.01373346897253306;0.0;0.008680908782638183;0.0;0.409375;0.2625;0.740625;0.0;0.996875;0.0;0.4510155233887097;0.6390679828590778;0.5446748276063824;0.0;0.9981601127898307;0.0;0.7877094972067038;0.2011173184357542;1.0139664804469273;0.0;42;9.280705051423052;0.0;2309.662493106607;5906.25;25.100084912871147;-13.89448717149442;0.0
286;0;0.009562563580874872;0.002373685995252628;0.012139708375720584;0.012309257375381485;0.002441505595116989;0.009664292980671414;0.0;0.01373346897253306;0.002475415395049169;0.008680908782638183;0.007799253984401491;0.002611054594777891;0.0;0.33125;0.409375;0.5875;0.671875;1.0;0.0;0.6762565255198102;0.4510155233887097;0.4160348140072994;0.7496228653473199;0.9978672638749794;0.0;0.24822695035460995;1.269503546099291;1.0106382978723405;0.0;39;9.383520966489217;10.788722627768633;2436.558755181568;6187.5;24.911248745596986;-11.980952213361855;0.0
392;0;0.002373685995252628;0.012309257375381485;0.009562563580874872;0.009664292980671414;0.012139708375720584;0.0029162427941675146;0.002441505595116989;0.008680908782638183;0.01373346897253306;0.002611054594777891;0.002475415395049169;0.013021363173957272;0.007799253984401491;0.25625;0.33125;0.66875;0.740625;0.99375;1.003125;0.4981241000340865;0.6762565255198102;0.7209702957177108;0.5446748276063824;0.977330264870302;0.9357284877282224;5.185714285714285;4.0285714285714285;1.2285714285714286;1.0285714285714287;35;9.250888559059293;5.320169668186546;2470.1444695401674;6125.0;22.3609323537012;-22.737023704772874;0.0
474;0;0.012309257375381485;0.009664292980671414;0.002373685995252628;0.0029162427941675146;0.009562563580874872;0.011190233977619531;0.012139708375720584;0.002611054594777891;0.008680908782638183;0.013021363173957272;0.01373346897253306;0.007121057985757884;0.002475415395049169;0.4125;0.25625;0.7375;0.5875;1.003125;0.996875;0.4296926113535831;0.4981241000340865;0.6150301447618716;0.4160348140072994;0.9959554535454028;0.9981601127898307;0.7851239669421487;0.1928374655647383;0.9090909090909092;0.9862258953168044;49;9.100299245622516;0.0;2426.203261308398;5906.25;24.60959192012726;-13.873700639469394;0.0
606;0;0.009664292980671414;0.0029162427941675146;0.012309257375381485;0.011190233977619531;0.002373685995252628;0.0100373007799254;0.009562563580874872;0.013021363173957272;0.002611054594777891;0.007121057985757884;0.008680908782638183;0.00250932519498135;0.01373346897253306;0.325;0.4125;0.590625;0.66875;0.996875;1.0;0.6520445864870279;0.4296926113535831;0.4966641722966693;0.7209702957177108;0.9979119730969086;0.9978672638749794;0.30175438596491233;1.2736842105263158;1.0385964912280703;0.9894736842105264;52;9.398639440127779;0.0;2564.178323578454;5937.5;25.113160477980585;-14.535065025815904;0.0
710;0;0.0029162427941675146;0.011190233977619531;0.009664292980671414;0.0100373007799254;0.012309257375381485;0.002000678195998644;0.002373685995252628;0.007121057985757884;0.013021363173957272;0.00250932519498135;0.002611054594777891;0.015089860969820278;0.008680908782638183;0.265625;0.325;0.671875;0.7375;0.996875;0.99375;0.669954044487942;0.6520445864870279;0.6502989539143044;0.6150301447618716;0.9799629837779132;0.977330264870302;3.8372093023255807;3.3139534883720927;0.6860465116279071;0.813953488372093;39;9.112569836862763;11.068943158433814;2676.8838181698693;6375.0;22.088669329345866;-24.102564567765175;0.0
795;0;0.011190233977619531;0.0100373007799254;0.0029162427941675146;0.002000678195998644;0.009664292980671414;0.01190233977619532;0.012309257375381485;0.00250932519498135;0.007121057985757884;0.015089860969820278;0.013021363173957272;0.007731434384537131;0.002611054594777891;0.40625;0.265625;0.73125;0.590625;1.003125;1.003125;0.5186755112358271;0.669954044487942;0.5509480923524497;0.4966641722966693;0.9986463230639756;0.9959554535454028;0.8969696969696971;0.2606060606060606;1.0636363636363635;1.1;49;9.4196853583796;8.679498091213329;2588.604996437984;6093.75;24.12957897533993;-15.962388013509637;0.0
925;0;0.0100373007799254;0.002000678195998644;0.011190233977619531;0.01190233977619532;0.0029162427941675146;0.00925737538148525;0.009664292980671414;0.015089860969820278;0.00250932519498135;0.007731434384537131;0.007121057985757884;0.0027127839945744322;0.013021363173957272;0.325;0.40625;0.596875;0.671875;1.0;0.996875;0.5134017539185544;0.5186755112358271;0.5155119588673419;0.6502989539143044;0.9995424855008248;0.9979119730969086;0.19932432432432434;1.1148648648648647;0.9222972972972971;0.9628378378378376;52;9.128805854409764;0.0;2473.418226581209;5968.75;24.34849686830007;-11.895122996240866;0.0
1029;0;0.002000678195998644;0.01190233977619532;0.0100373007799254;0.00925737538148525;0.011190233977619531;0.0030857917938284163;0.0029162427941675146;0.007731434384537131;0.015089860969820278;0.0027127839945744322;0.00250932519498135;0.013055272973889457;0.007121057985757884;0.271875;0.325;0.675;0.73125;0.984375;0.996875;0.5310962863268043;0.5134017539185544;0.5552357880103271;0.5509480923524497;0.9639236654586512;0.9799629837779132;5.94915254237288;5.016949152542372;1.542372881355932;1.4576271186440677;49;8.992322245477805;3.635894577573388;2173.291129971083;5781.25;21.41360645372798;-22.318761239231982;0.0
1116;0;0.01190233977619532;0.00925737538148525;0.002000678195998644;0.0030857917938284163;0.0100373007799254;0.010817226178365549;0.011190233977619531;0.0027127839945744322;0.007731434384537131;0.013055272973889457;0.015089860969820278;0.00766361478467277;0.00250932519498135;0.403125;0.271875;0.7125;0.596875;1.003125;1.003125;0.513643880646395;0.5310962863268043;0.6806176866673832;0.5155119588673419;0.9922322605847416;0.9986463230639756;0.7777777777777779;0.16809116809116814;0.908831908831909;0.9401709401709402;45;9.235013606837036;10.329488871942498;2385.954004781235;6031.25;24.406209339316568;-11.921714476487665;0.0
1245;0;0.00925737538148525;0.0030857917938284163;0.01190233977619532;0.010817226178365549;0.002000678195998644;0.008850457782299084;0.0100373007799254;0.013055272973889457;0.0027127839945744322;0.00766361478467277;0.007731434384537131;0.003153611393692777;0.015089860969820278;0.309375;0.403125;0.6;0.675;1.0;1.0;0.5042027180965103;0.513643880646395;0.4884595412441804;0.5552357880103271;0.9965394903312308;0.9995424855008248;0.3333333333333333;1.2857142857142856;0.956043956043956;1.0842490842490844;38;9.372906819553359;9.932052129014881;2608.2519643875157;6218.75;24.404417973243323;-13.474006250006493;0.0
1344;0;0.0030857917938284163;0.010817226178365549;0.00925737538148525;0.008850457782299084;0.01190233977619532;0.002814513394370973;0.002000678195998644;0.00766361478467277;0.013055272973889457;0.003153611393692777;0.0027127839945744322;0.013190912173618176;0.007731434384537131;0.290625;0.309375;0.690625;0.7125;1.009375;0.984375;0.7596235538986985;0.5042027180965103;0.4683153702089637;0.6806176866673832;0.9836040873749576;0.9639236654586512;3.5054945054945064;3.0000000000000004;0.9120879120879122;0.6483516483516485;43;8.744325705806505;6.515487913470674;2486.677790251506;6093.75;20.229404422156065;-22.042070902539507;0.0
