negPeakIdx;target;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
122;0;0.00033909799932180403;0.006748050186503899;0.0;0.013767378772465243;0.0;0.006985418786029162;0.0;0.0013903017972193964;0.0;0.010410308579179385;0.0;0.0020684977958630047;0.0;0.484375;0.0;0.78125;0.0;1.084375;0.0;-0.1321531744272761;0.0;0.7521797995418553;0.0;0.3163529294648221;0.0;19.9;0.0;20.6;0.0;51;13.207781987124159;0.3183220419173439;2795.7795330409344;4187.5;36.7757635470859;-36.38862783241052;0.0
277;0;0.006748050186503899;0.013767378772465243;0.00033909799932180403;0.006985418786029162;0.0;0.0059342149881315715;0.0;0.010410308579179385;0.0013903017972193964;0.0020684977958630047;0.0;0.00766361478467277;0.0;0.296875;0.484375;0.6;0.0;1.1375;0.0;0.3834960866349959;-0.1321531744272761;0.12683765981377873;0.0;0.2259204715310749;0.0;2.0402010050251262;0.05025125628140704;0.8793969849246234;0.0;54;11.887527506080508;0.0;2859.2196457715045;5031.25;33.92269989101492;-30.73352393635002;0.0
372;0;0.013767378772465243;0.006985418786029162;0.006748050186503899;0.0059342149881315715;0.00033909799932180403;0.0013224821973550356;0.0;0.0020684977958630047;0.010410308579179385;0.00766361478467277;0.0013903017972193964;0.006510681586978637;0.0;0.303125;0.296875;0.840625;0.78125;1.315625;0.0;0.8364225469868544;0.3834960866349959;0.9576267774059828;0.7521797995418553;0.3957005698922836;0.0;0.5073891625615763;0.4901477832512315;0.0960591133004926;0.0;48;11.19896023257582;1.3381382252231444;2679.261403419605;4687.5;31.750782598177835;-23.75474426870076;0.0
469;0;0.006985418786029162;0.0059342149881315715;0.013767378772465243;0.0013224821973550356;0.006748050186503899;0.0020684977958630047;0.00033909799932180403;0.00766361478467277;0.0020684977958630047;0.006510681586978637;0.010410308579179385;0.011766700576466598;0.0013903017972193964;0.5375;0.303125;1.0125;0.6;1.421875;1.084375;0.587110909321332;0.8364225469868544;0.11993055404323;0.12683765981377873;0.3114117778355681;0.3163529294648221;0.8495145631067964;1.9708737864077672;0.29611650485436897;0.04854368932038836;54;11.511180266625113;4.6308875364815565;2639.601068253187;4093.75;31.371880962977535;-25.76739776265748;0.0
641;0;0.0059342149881315715;0.0013224821973550356;0.006985418786029162;0.0020684977958630047;0.013767378772465243;0.007527975584944048;0.006748050186503899;0.006510681586978637;0.00766361478467277;0.011766700576466598;0.0020684977958630047;0.0035944387928111225;0.010410308579179385;0.475;0.5375;0.884375;0.840625;1.23125;1.1375;0.5252239407347339;0.587110909321332;0.9114704748925808;0.9576267774059828;0.977913364595678;0.2259204715310749;0.2228571428571428;1.1771428571428568;1.2685714285714282;1.1371428571428568;50;10.222934045552847;18.846601523530065;2609.565733123064;4687.5;29.61392645458607;-23.776372187253383;0.0
793;0;0.0013224821973550356;0.0020684977958630047;0.0059342149881315715;0.007527975584944048;0.006985418786029162;0.011631061376737877;0.013767378772465243;0.011766700576466598;0.006510681586978637;0.0035944387928111225;0.00766361478467277;0.008138351983723296;0.0020684977958630047;0.409375;0.475;0.75625;1.0125;1.621875;1.315625;0.27932631103701056;0.5252239407347339;0.5825045921923255;0.11993055404323;0.5408851303382652;0.3957005698922836;1.5641025641025643;4.487179487179488;8.794871794871796;10.410256410256409;36;10.706399362674613;0.0;2347.847866936112;4156.25;29.58521462557935;-21.8319066834757;0.0
924;0;0.0020684977958630047;0.007527975584944048;0.0013224821973550356;0.011631061376737877;0.0059342149881315715;0.0066463207867073605;0.006985418786029162;0.0035944387928111225;0.011766700576466598;0.008138351983723296;0.006510681586978637;0.005866395388267209;0.00766361478467277;0.346875;0.409375;1.2125;0.884375;1.71875;1.421875;0.7561414508885151;0.27932631103701056;-0.024530166255491474;0.9114704748925808;0.7518569098572534;0.3114117778355681;3.639344262295081;0.6393442622950819;3.213114754098361;3.3770491803278686;33;9.564421676639407;0.0;2321.994795236039;4718.75;26.810107517337144;-17.669172639390734;0.0
1035;0;0.007527975584944048;0.011631061376737877;0.0020684977958630047;0.0066463207867073605;0.0013224821973550356;0.0006103763987792473;0.0059342149881315715;0.008138351983723296;0.0035944387928111225;0.005866395388267209;0.011766700576466598;0.008375720583248559;0.006510681586978637;0.865625;0.346875;1.371875;0.75625;2.1375;1.23125;0.8875759704634686;0.7561414508885151;0.4038316153119879;0.5825045921923255;0.7882778379412784;0.977913364595678;1.545045045045045;0.27477477477477485;0.0810810810810811;0.7882882882882886;33;9.156897475666254;1.1201121854363334;3164.977581358294;6843.75;23.610146626751078;-20.893141755352886;0.0
1312;0;0.011631061376737877;0.0066463207867073605;0.007527975584944048;0.0006103763987792473;0.0020684977958630047;0.0002712783994574432;0.0013224821973550356;0.005866395388267209;0.008138351983723296;0.008375720583248559;0.0035944387928111225;0.004611732790776534;0.011766700576466598;0.50625;0.865625;1.271875;1.2125;1.675;1.621875;0.10321276503067073;0.8875759704634686;0.337044353118438;-0.024530166255491474;0.6739573676904516;0.5408851303382652;0.5714285714285716;0.6472303206997084;0.02332361516034985;0.11370262390670555;24;8.914607043833492;3.404920560775897;1782.15176375874;3468.75;23.55412229207301;-12.059618036595344;0.0
1474;0;0.0066463207867073605;0.0006103763987792473;0.011631061376737877;0.0002712783994574432;0.007527975584944048;0.002000678195998644;0.0020684977958630047;0.008375720583248559;0.005866395388267209;0.004611732790776534;0.008138351983723296;0.0068836893862326215;0.0035944387928111225;0.765625;0.50625;1.16875;1.371875;1.559375;1.71875;0.8256619578829977;0.10321276503067073;0.2577862733166911;0.4038316153119879;0.4294735132992822;0.7518569098572534;0.09183673469387754;1.7499999999999991;0.30102040816326525;0.3112244897959183;26;8.504029683770835;3.997583204980357;1848.8004875303127;4125.0;22.83505503378837;-14.875112278638904;0.0
