negPeakIdx;target;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
106;0;0.011495422177009156;0.02109189555781621;0.0;0.01939640556120719;0.0;0.01959986436080027;0.0;0.01919294676161411;0.0;0.01634452356731095;0.0;0.013360461173279077;0.0;1.003125;0.0;2.009375;0.0;3.00625;0.0;0.8033248432189604;0.0;0.8057443441601938;0.0;0.869093729975013;0.0;1.8348082595870208;0.0;1.7050147492625367;0.0;8;7.400615579251176;0.0;1918.1810098414712;5000.0;16.70473876578355;-12.86969930862246;0.0
427;0;0.02109189555781621;0.01939640556120719;0.011495422177009156;0.01959986436080027;0.0;0.01797219396405561;0.0;0.01634452356731095;0.01919294676161411;0.013360461173279077;0.0;0.015055951169888096;0.0;1.00625;1.003125;2.003125;0.0;3.003125;0.0;0.9978362745561764;0.8033248432189604;0.9836591356946888;0.0;0.975427324033429;0.0;0.919614147909968;0.545016077170418;0.8520900321543408;0.0;17;7.216628660522089;0.0;1378.612508034978;4343.75;15.822009667397811;-10.659863161420676;0.0
749;0;0.01939640556120719;0.01959986436080027;0.02109189555781621;0.01797219396405561;0.011495422177009156;0.01858257036283486;0.0;0.013360461173279077;0.01634452356731095;0.015055951169888096;0.01919294676161411;0.01922685656154629;0.0;0.996875;1.00625;1.996875;2.009375;3.0;0.0;0.9802540816284704;0.9978362745561764;0.9692273353996718;0.8057443441601938;0.9930020527434592;0.0;1.0104895104895104;1.0874125874125873;0.958041958041958;0.0;17;7.354612319025755;0.0;1532.5738569229716;4593.75;15.564535587702098;-13.4644260234902;0.0
1068;0;0.01959986436080027;0.01797219396405561;0.01939640556120719;0.01858257036283486;0.02109189555781621;0.0183452017633096;0.011495422177009156;0.015055951169888096;0.013360461173279077;0.01922685656154629;0.01634452356731095;0.01776873516446253;0.01919294676161411;1.0;0.996875;2.003125;2.003125;3.00625;3.00625;0.9898163628368816;0.9802540816284704;0.9892069460274728;0.9836591356946888;0.9781731189874241;0.869093729975013;0.9169550173010379;0.98961937716263;0.9359861591695504;0.5865051903114187;10;7.1107227411291385;0.0;1405.6173088171242;4312.5;14.997659717824607;-10.146243641984249;0.0
1388;0;0.01797219396405561;0.01858257036283486;0.01959986436080027;0.0183452017633096;0.01939640556120719;0.020583248558833502;0.02109189555781621;0.01922685656154629;0.015055951169888096;0.01776873516446253;0.013360461173279077;0.014208206171583587;0.01634452356731095;1.003125;1.0;2.00625;1.996875;2.99375;3.003125;0.9826069362826756;0.9898163628368816;0.9591079099757852;0.9692273353996718;0.9958120034066668;0.975427324033429;1.0339622641509434;1.0905660377358493;1.1452830188679246;1.1735849056603775;22;7.307209224768366;0.0;1497.4317984282957;4406.25;16.85865334449797;-10.244531529922254;0.0
1709;0;0.01858257036283486;0.0183452017633096;0.01797219396405561;0.020583248558833502;0.01959986436080027;0.020040691759918617;0.01939640556120719;0.01776873516446253;0.01922685656154629;0.014208206171583587;0.015055951169888096;0.01817565276364869;0.013360461173279077;1.003125;1.003125;1.990625;2.003125;2.984375;3.0;0.9900188126838688;0.9826069362826756;0.9789510572977568;0.9892069460274728;0.9817695325597398;0.9930020527434592;0.9872262773722632;0.9671532846715328;1.0784671532846717;1.0437956204379564;9;7.3403015310579764;0.0;1434.6123331326917;4312.5;16.128730182152147;-12.330563678108382;0.0
2030;0;0.0183452017633096;0.020583248558833502;0.01858257036283486;0.020040691759918617;0.01797219396405561;0.01909121736181757;0.01959986436080027;0.014208206171583587;0.01776873516446253;0.01817565276364869;0.01922685656154629;0.02444896575110207;0.015055951169888096;0.9875;1.003125;1.98125;2.00625;3.003125;3.00625;0.9562291142137428;0.9900188126838688;0.9556349925104516;0.9591079099757852;0.9540655436208556;0.9781731189874241;1.1219963031423286;1.0129390018484286;1.0406654343807762;1.0683918669131234;11;7.235309195450393;0.0;1477.2277632430275;4250.0;16.167478151023854;-11.754751914450074;0.0
2346;0;0.020583248558833502;0.020040691759918617;0.0183452017633096;0.01909121736181757;0.01858257036283486;0.014309935571380128;0.01797219396405561;0.01817565276364869;0.014208206171583587;0.02444896575110207;0.01776873516446253;0.009935571380128858;0.01922685656154629;0.99375;0.9875;2.015625;1.990625;3.0;2.99375;0.9941127680011848;0.9562291142137428;0.8321733247694791;0.9789510572977568;0.9866784638116732;0.9958120034066668;0.9736408566721582;0.8912685337726527;0.6952224052718287;0.8731466227347611;16;7.158733076844679;0.0;1239.3313248362945;3687.5;15.572944523753526;-11.088127307248227;0.0
2664;0;0.020040691759918617;0.01909121736181757;0.020583248558833502;0.014309935571380128;0.0183452017633096;0.022278738555442518;0.01858257036283486;0.02444896575110207;0.01817565276364869;0.009935571380128858;0.014208206171583587;0.016208884367582232;0.01776873516446253;1.021875;0.99375;2.00625;1.98125;3.00625;2.984375;0.8376451009633661;0.9941127680011848;0.9826551486789922;0.9556349925104516;0.994201721440948;0.9817695325597398;0.9526226734348564;1.027072758037225;1.111675126903553;0.9272419627749576;7;7.281432195315667;0.0;1260.3369219540637;3531.25;17.054600848087233;-7.131519824082838;0.0
2991;0;0.01909121736181757;0.014309935571380128;0.020040691759918617;0.022278738555442518;0.020583248558833502;0.016514072566971856;0.0183452017633096;0.009935571380128858;0.02444896575110207;0.016208884367582232;0.01817565276364869;0.018006103763987792;0.014208206171583587;0.984375;1.021875;1.984375;2.015625;2.984375;3.003125;0.8416006711302708;0.8376451009633661;0.8230971567063423;0.8321733247694791;0.9319037694945634;0.9540655436208556;0.7495559502664296;1.0497335701598578;0.8650088809946713;0.9609236234458258;1;7.146979349002224;0.0;1281.5377110096124;3937.5;15.091467632493712;-10.583471448427957;0.0
