negPeakIdx;target;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
125;0;0.0021363173957273654;0.11746354696507293;0.0;0.19782977280434044;0.0;0.004747371990505256;0.0;0.15954560868090878;0.0;0.07894201424211597;0.0;0.21332655137334688;0.0;2.159375;0.0;3.63125;0.0;6.525;0.0;0.4408106752192107;0.0;-0.08966987331902987;0.0;0.9003547193721041;0.0;54.98412698412699;0.0;2.2222222222222223;0.0;12;8.944551164421059;14.866013766270086;1121.5995358190758;3062.5;22.309461658522025;-15.591909824915204;0.0
816;0;0.11746354696507293;0.19782977280434044;0.0021363173957273654;0.004747371990505256;0.0;0.260155985079688;0.0;0.07894201424211597;0.15954560868090878;0.21332655137334688;0.0;0.10542556798914886;0.0;1.471875;2.159375;4.365625;0.0;7.1125;0.0;0.40432985654915576;0.4408106752192107;0.4865445631248077;0.0;-0.2641662728646768;0.0;1.6841801385681292;0.01818706697459584;2.2147806004618933;0.0;2;10.191865788410812;10.793079097613328;254.15652276175427;218.75;24.172757641432558;2.8483565039682825;0.0
1287;0;0.19782977280434044;0.004747371990505256;0.11746354696507293;0.260155985079688;0.0021363173957273654;0.078195998643608;0.0;0.21332655137334688;0.07894201424211597;0.10542556798914886;0.15954560868090878;0.1858257036283486;0.0;2.89375;1.471875;5.640625;3.63125;8.36875;0.0;0.5814457020425701;0.40432985654915576;0.600996251585383;-0.08966987331902987;0.4778324163643277;0.0;0.02399725745629071;0.5937607130613646;0.3952691121014741;0.0;0;11.244144538500967;1.8894228383333682;157.76700505554334;125.0;24.727773823141128;-0.06522767450897687;0.0
2213;0;0.004747371990505256;0.260155985079688;0.19782977280434044;0.078195998643608;0.11746354696507293;0.016141064767717872;0.0021363173957273654;0.10542556798914886;0.21332655137334688;0.1858257036283486;0.07894201424211597;0.010376398779247202;0.15954560868090878;2.746875;2.89375;5.475;4.365625;6.125;6.525;-0.11054448436738784;0.5814457020425701;0.9610091261011224;0.4865445631248077;0.31900998795989016;0.9003547193721041;54.8;41.67142857142857;3.4000000000000004;0.45;4;7.720141464462824;3.086101157685877;616.7884940295273;843.75;20.412185338525727;-0.7664347640078741;0.0
3092;0;0.260155985079688;0.078195998643608;0.004747371990505256;0.016141064767717872;0.19782977280434044;0.2445235673109529;0.11746354696507293;0.1858257036283486;0.10542556798914886;0.010376398779247202;0.21332655137334688;0.3013563919972872;0.07894201424211597;2.728125;2.746875;3.378125;5.640625;6.15625;7.1125;0.8584660878807963;-0.11054448436738784;0.17125014876692227;0.600996251585383;0.6976098309941624;-0.2641662728646768;0.3005735140771637;0.01824817518248176;0.9399113660062568;0.4515119916579772;0;11.813263723965775;19.347080406292527;90.06434467471033;31.25;30.927639964674;0.11550480537541002;0.0
3965;0;0.078195998643608;0.016141064767717872;0.260155985079688;0.2445235673109529;0.004747371990505256;0.1993896236012208;0.19782977280434044;0.010376398779247202;0.1858257036283486;0.3013563919972872;0.10542556798914886;0.24404883011190234;0.21332655137334688;0.65;2.728125;3.428125;5.475;8.65625;8.36875;0.2283935317529981;0.8584660878807963;-0.03612709145238726;0.9610091261011224;-0.316609959280142;0.4778324163643277;0.2064180398959237;3.326973113616652;2.5498699045967053;2.5299219427580217;0;9.438920152812932;8.594301499020093;279.7063378947862;125.0;21.603696716864228;2.47574140681993;0.0
4173;0;0.016141064767717872;0.2445235673109529;0.078195998643608;0.1993896236012208;0.260155985079688;0.03255340793489318;0.004747371990505256;0.3013563919972872;0.010376398779247202;0.24404883011190234;0.1858257036283486;0.21200406917599185;0.10542556798914886;2.778125;0.65;8.00625;3.378125;12.715625;6.125;0.06935594443070081;0.2283935317529981;-0.2424679829123696;0.17125014876692227;-0.494062209086284;0.31900998795989016;15.149159663865547;4.844537815126049;2.016806722689076;0.2941176470588235;4;7.864297590715027;0.0;710.5185641601632;937.5;20.71860012845874;1.9688966939362067;0.0
5062;0;0.2445235673109529;0.1993896236012208;0.016141064767717872;0.03255340793489318;0.078195998643608;0.19196337741607325;0.260155985079688;0.24404883011190234;0.3013563919972872;0.21200406917599185;0.010376398779247202;0.00834181078331638;0.1858257036283486;5.228125;2.778125;9.9375;3.428125;12.403125;6.15625;0.9243084705015304;0.06935594443070081;0.4231336593144356;-0.03612709145238726;0.5617437425888849;0.6976098309941624;0.8154208847593954;0.0660102620995701;0.7850506171127444;1.063930106781306;0;11.708927078090431;0.0;87.66732174335047;31.25;31.19762077788659;-0.9214656031023672;0.0
6735;0;0.1993896236012208;0.03255340793489318;0.2445235673109529;0.19196337741607325;0.016141064767717872;0.19342149881315696;0.078195998643608;0.21200406917599185;0.24404883011190234;0.00834181078331638;0.3013563919972872;0.1687012546625975;0.010376398779247202;4.709375;5.228125;7.175;8.00625;12.575;8.65625;0.4085408959019638;0.9243084705015304;0.4147961815478052;-0.2424679829123696;0.7460972925258066;-0.316609959280142;0.16326530612244894;1.2263605442176868;0.9700680272108838;0.3921768707482992;0;11.311420536922808;9.66591745902011;116.75657030986041;31.25;29.223902623393172;1.3234993846864025;0.0
8242;0;0.03255340793489318;0.19196337741607325;0.1993896236012208;0.19342149881315696;0.2445235673109529;0.1821973550356053;0.016141064767717872;0.00834181078331638;0.21200406917599185;0.1687012546625975;0.24404883011190234;0.2311291963377416;0.3013563919972872;2.465625;4.709375;7.865625;9.9375;13.240625;12.715625;0.00820058888743842;0.4085408959019638;-0.4119640809240515;0.4231336593144356;0.02027106072783474;-0.494062209086284;5.8968750000000005;6.125000000000003;5.5968750000000025;0.4958333333333334;1;8.416384250457446;0.0;621.3892746030881;1406.25;22.175039216769076;1.0306723596092289;0.0
