negPeakIdx;target;negAmp0;negAmp+1;negAmp-1;negAmp+2;negAmp-2;negAmp+3;negAmp-3;posAmp+1;posAmp-1;posAmp+2;posAmp-2;posAmp+3;posAmp-3;timeDif+1;timeDif-1;timeDif+2;timeDif-2;timeDif+3;timeDif-3;corr+1;corr-1;corr+2;corr-2;corr+3;corr-3;negPeakRatio+1;negPeakRatio-1;negPeakRatio+3;negPeakRatio-3;zcr;energy;hnr;specCentroid;specRollOff;mfcc0;mfcc1;f0
295;0;0.000508646998982706;0.0008816547982366905;0.0;0.00030518819938962365;0.0;0.0009155645981688707;0.0;0.00084774499830451;0.0;0.00013563919972872158;0.0;0.0001017293997965412;0.0;1.009375;0.0;1.375;0.0;1.709375;0.0;0.6036834009911299;0.0;-0.5303602366534581;0.0;0.6322462164469304;0.0;1.7333333333333334;0.0;1.7999999999999998;0.0;54;6.663986278217088;0.01808427552807964;3554.503394267926;6875.0;7.861533117372434;-27.152265663662572;0.0
618;0;0.0008816547982366905;0.00030518819938962365;0.000508646998982706;0.0009155645981688707;0.0;0.0005764665988470667;0.0;0.00013563919972872158;0.00084774499830451;0.0001017293997965412;0.0;0.0008816547982366905;0.0;0.365625;1.009375;0.7;0.0;1.571875;0.0;0.17042401689465395;0.6036834009911299;0.4902332097201969;0.0;0.1528598742734142;0.0;0.3461538461538462;0.5769230769230769;0.6538461538461537;0.0;48;6.610703360544225;2.1376063714721147;3445.156902835072;6875.0;7.712359343014579;-24.323950709336767;0.0
735;0;0.00030518819938962365;0.0009155645981688707;0.0008816547982366905;0.0005764665988470667;0.000508646998982706;6.781959986436079e-05;0.0;0.0001017293997965412;0.00013563919972872158;0.0008816547982366905;0.00084774499830451;0.0002373685995252628;0.0;0.334375;0.365625;1.20625;1.375;1.55625;0.0;-0.4271700564838865;0.17042401689465395;-0.6704276322633093;-0.5303602366534581;0.7346599061949364;0.0;2.9999999999999987;2.8888888888888884;0.22222222222222213;0.0;60;6.547510584309295;0.0;3515.3952092448303;6375.0;7.319554153398312;-27.431489258313107;0.0
842;0;0.0009155645981688707;0.0005764665988470667;0.00030518819938962365;6.781959986436079e-05;0.0008816547982366905;0.00016954899966090201;0.000508646998982706;0.0008816547982366905;0.0001017293997965412;0.0002373685995252628;0.00013563919972872158;0.0004408273991183452;0.00084774499830451;0.871875;0.334375;1.221875;0.7;1.65625;1.709375;0.6964333902981449;-0.4271700564838865;-0.5090107543315837;0.4902332097201969;0.08917525993895267;0.6322462164469304;0.6296296296296297;0.3333333333333334;0.18518518518518529;0.5555555555555556;40;6.450984972630197;0.0;3256.522403912889;6812.5;5.339055248402256;-30.872795021662483;0.0
1121;0;0.0005764665988470667;6.781959986436079e-05;0.0009155645981688707;0.00016954899966090201;0.00030518819938962365;0.0013224821973550356;0.0008816547982366905;0.0002373685995252628;0.0008816547982366905;0.0004408273991183452;0.0001017293997965412;0.001254662597490675;0.00013563919972872158;0.35;0.871875;0.784375;1.20625;1.36875;1.571875;-0.2964218649479495;0.6964333902981449;0.4840586699464662;-0.6704276322633093;0.871190090305468;0.1528598742734142;0.1176470588235294;1.5882352941176472;2.2941176470588243;1.5294117647058825;51;6.426120586890604;0.0;3509.230894512927;6250.0;6.552707225746298;-29.55057192321245;0.0
1233;0;6.781959986436079e-05;0.00016954899966090201;0.0005764665988470667;0.0013224821973550356;0.0009155645981688707;0.0007121057985757884;0.00030518819938962365;0.0004408273991183452;0.0002373685995252628;0.001254662597490675;0.0008816547982366905;0.0006781959986436081;0.0001017293997965412;0.434375;0.35;1.01875;1.221875;2.04375;1.55625;0.19475542089442605;-0.2964218649479495;-0.03271167117842465;-0.5090107543315837;0.007231395417373908;0.7346599061949364;2.5000000000000004;8.5;10.500000000000002;4.500000000000002;73;6.264812258279406;0.0;3506.64449554124;6281.25;5.05476824488854;-32.45897440090665;0.0
1372;0;0.00016954899966090201;0.0013224821973550356;6.781959986436079e-05;0.0007121057985757884;0.0005764665988470667;0.00016954899966090201;0.0009155645981688707;0.001254662597490675;0.0004408273991183452;0.0006781959986436081;0.0002373685995252628;0.0007460155985079687;0.0008816547982366905;0.584375;0.434375;1.609375;0.784375;2.265625;1.65625;0.7593036424472487;0.19475542089442605;-0.3908509944691477;0.4840586699464662;0.2441636012038869;0.08917525993895267;7.799999999999999;0.3999999999999999;1.0;5.399999999999999;62;6.354565757877616;0.0;3248.822957318819;6093.75;6.877812773405987;-29.862688878542727;0.0
1559;0;0.0013224821973550356;0.0007121057985757884;0.00016954899966090201;0.00016954899966090201;6.781959986436079e-05;0.0005425567989148863;0.0005764665988470667;0.0006781959986436081;0.001254662597490675;0.0007460155985079687;0.0004408273991183452;0.0006442861987114276;0.0002373685995252628;1.025;0.584375;1.68125;1.01875;2.071875;1.36875;0.16946994277654487;0.7593036424472487;0.7713217979132223;-0.03271167117842465;0.9120180244799952;0.871190090305468;0.5384615384615384;0.12820512820512822;0.4102564102564102;0.4358974358974359;25;6.337564596127431;5.37028839375933;3028.3564668988984;6156.25;8.269370853846361;-24.95431672969038;0.0
1887;0;0.0007121057985757884;0.00016954899966090201;0.0013224821973550356;0.0005425567989148863;0.00016954899966090201;3.3909799932180395e-05;6.781959986436079e-05;0.0007460155985079687;0.0006781959986436081;0.0006442861987114276;0.001254662597490675;0.000508646998982706;0.0004408273991183452;0.65625;1.025;1.046875;1.609375;2.028125;2.04375;-0.25853160583526674;0.16946994277654487;0.5078599309581356;-0.3908509944691477;-0.19101606865575665;0.007231395417373908;0.2380952380952381;1.8571428571428568;0.04761904761904761;0.09523809523809522;50;6.936074323883356;0.0;3529.2725927339616;6468.75;7.536764224492201;-30.53279059036691;0.0
2097;0;0.00016954899966090201;0.0005425567989148863;0.0007121057985757884;3.3909799932180395e-05;0.0013224821973550356;6.781959986436079e-05;0.00016954899966090201;0.0006442861987114276;0.0007460155985079687;0.000508646998982706;0.0006781959986436081;3.3909799932180395e-05;0.001254662597490675;0.390625;0.65625;1.371875;1.68125;1.534375;2.265625;0.3106347220153274;-0.25853160583526674;0.5330011914690089;0.7713217979132223;0.14774211181063496;0.2441636012038869;3.2;4.199999999999998;0.3999999999999999;1.0;63;6.634044638332704;0.33519477027502464;3416.440104901349;6343.75;6.311051262555718;-32.189582642710015;0.0
2222;0;0.0005425567989148863;3.3909799932180395e-05;0.00016954899966090201;6.781959986436079e-05;0.0007121057985757884;6.781959986436079e-05;0.0013224821973550356;0.000508646998982706;0.0006442861987114276;3.3909799932180395e-05;0.0007460155985079687;6.781959986436079e-05;0.0006781959986436081;0.98125;0.390625;1.14375;1.046875;1.3125;2.071875;0.2896694044591719;0.3106347220153274;0.039920847998618406;0.5078599309581356;-0.2831681990950491;0.9120180244799952;0.0625;0.3125000000000001;0.125;2.4375000000000004;55;6.4731486917338525;0.2255369736287977;3519.222704679605;6343.75;5.820885438056134;-31.464159192844072;0.0
2536;0;3.3909799932180395e-05;6.781959986436079e-05;0.0005425567989148863;6.781959986436079e-05;0.00016954899966090201;0.0006781959986436081;0.0007121057985757884;3.3909799932180395e-05;0.000508646998982706;6.781959986436079e-05;0.0006442861987114276;3.3909799932180395e-05;0.0007460155985079687;0.1625;0.98125;0.33125;1.371875;0.6125;2.028125;0.2240710748899701;0.2896694044591719;0.17010584870982698;0.5330011914690089;0.5495064194911007;-0.19101606865575665;2.0;16.0;20.000000000000004;21.000000000000004;77;6.7608146618830265;3.8315531139698256;3990.837215706926;7000.0;3.5566662977522743;-41.01285738264549;0.0
2588;0;6.781959986436079e-05;6.781959986436079e-05;3.3909799932180395e-05;0.0006781959986436081;0.0005425567989148863;0.00016954899966090201;0.00016954899966090201;6.781959986436079e-05;3.3909799932180395e-05;3.3909799932180395e-05;0.000508646998982706;0.0004747371990505256;0.0006442861987114276;0.16875;0.1625;0.45;1.14375;0.859375;1.534375;0.9324225906124612;0.2240710748899701;0.18301449795671126;0.039920847998618406;0.6867336637239971;0.14774211181063496;1.0;0.5;2.5000000000000004;2.5000000000000004;80;7.760259288215653;0.0;4575.468404035233;7125.0;4.92956533959426;-44.40258995642995;0.0
2642;0;6.781959986436079e-05;0.0006781959986436081;6.781959986436079e-05;0.00016954899966090201;3.3909799932180395e-05;0.0003730077992539844;0.0005425567989148863;3.3909799932180395e-05;6.781959986436079e-05;0.0004747371990505256;3.3909799932180395e-05;0.0001017293997965412;0.000508646998982706;0.28125;0.16875;0.690625;0.33125;1.009375;1.3125;-0.5379502169727924;0.9324225906124612;0.8939991362597263;0.17010584870982698;-0.5988015368039495;-0.2831681990950491;10.000000000000002;1.0;5.5;8.0;74;7.075664499581768;1.23331333687582;4614.929009431443;7187.5;4.342771465424347;-37.78457595051679;0.0
